d,c,b,e,h,f,h,h,e,h,f,c,b,k,f,f,c,b,j,d,d,c,b,k,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,h,h,e,h,e,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
7,101,183,1839,1987,2113,2481,2627,2793,2917,3037,3147,3231,3359,3509,3629,3739,3857,3953,4055,4173,4287,4367,4503,4707,4845,4985,5087,5173,5299,5457,5585,5695,5779,5913,6073,6203,6313,6437,6531,6637,6761,6877,6959,7453,7613,7739,7841,7969,8085,8165,8301,8449,8585,8695,8783,8923,9079,9219,9325,9441,9539,9649,9733,10333,10501,10679,10795,10971,11151,11309,11435,11541,11627,11765,11917,12057,12169,12295,12391,12499,12623,12741,12825
71,161,229,1879,2033,2181,2527,2673,2839,2965,3109,3215,3283,3435,3579,3701,3807,3915,4001,4153,4259,4347,4413,4577,4747,4891,5055,5155,5221,5375,5527,5655,5763,5827,5987,6147,6279,6379,6493,6585,6735,6849,6939,7007,7479,7657,7789,7941,8053,8149,8215,8375,8523,8661,8765,8831,8995,9153,9293,9391,9497,9589,9709,9781,10375,10547,10733,10851,11093,11229,11383,11509,11613,11685,11843,11989,12127,12245,12357,12451,12599,12711,12811,12881
