e,h,h,h,h,e,e,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,h,e,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b
1223,1981,2155,2333,2517,2723,2949,3025,3201,3343,3447,3527,3659,3805,3945,4055,4159,4251,4355,4473,4585,4665,4923,5097,5263,5417,5551,5655,5771,5865,5967,6043,6177,6329,6453,6565,6683,6777,6877,6999,7109,7189,7331,7489,7607,7717,7801,7933,8095,8219,8323,8439,8533,8887,9069,9193,9273,9395,9547,9677,9789,9901,9997,10097,10219,10329,10411,10919,11069,11195,11293,11413,11525,11605
1263,2009,2211,2387,2575,2801,2981,3077,3251,3413,3515,3581,3733,3879,4019,4121,4221,4317,4457,4561,4655,4717,4967,5193,5335,5493,5629,5729,5835,5929,6037,6105,6263,6407,6529,6633,6741,6833,6977,7083,7181,7247,7415,7569,7685,7791,7857,8007,8173,8297,8393,8497,8599,8947,9131,9267,9333,9477,9625,9757,9863,9961,10055,10199,10313,10407,10471,10959,11117,11249,11395,11501,11597,11667
