e,e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,h,e,h,f,c,b,k,h,h,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,f,c,g,f,c,b,k,f,f,c,b,k,e,h,f,c,g,j,d,d,c,b,h,h,f,d,d,c,b
1507,1797,1987,2129,2297,2441,2539,2621,2757,2907,3025,3135,3249,3345,3451,3571,3687,3765,3891,4045,4163,4271,4351,4969,5139,5267,5401,5505,5587,5715,5891,6041,6167,6293,6401,6519,6611,6715,6795,6917,7073,7193,7321,7431,7527,7633,7711,7843,8009,8135,8243,8327,8473,8661,8835,8975,9083,9205,9301,9409,9489,9615,9791,9925,10039,10119,10263,10505,10641,10777,10883,10999,11095,11201,11325,11439,11521,11813,11985,12117,12219,12341,12455,12541
1619,1881,2029,2189,2345,2511,2603,2669,2829,2981,3101,3205,3311,3403,3547,3657,3747,3819,3967,4117,4237,4341,4407,5007,5183,5311,5475,5573,5639,5791,5943,6093,6247,6371,6469,6573,6665,6781,6847,6993,7145,7271,7383,7491,7585,7701,7765,7919,8085,8211,8309,8379,8549,8705,8883,9045,9153,9263,9355,9473,9537,9695,9869,10003,10111,10175,10341,10555,10691,10849,10953,11057,11155,11301,11413,11509,11581,11865,12039,12179,12325,12427,12519,12589
