e,e,e,e,e,h,e,e,h,e,h,h,h,e,k,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,k,j,d,e,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,j,d,d,c,b
1155,1201,1239,1851,1979,2165,2325,3297,3635,3795,4003,4211,4417,4591,4745,4881,4985,5069,5209,5359,5479,5585,5699,5795,5903,6023,6137,6215,6443,6603,6733,6845,6927,7061,7243,7409,7521,7621,7745,7857,7941,8079,8279,8449,8577,8683,8957,9137,9285,9407,9517,9637,9731,9839,9917,10039,10251,10471,10609,10713,10831,10947,11029,11167,11325,11459,11569,11691,11787,11895,12015,12127,12207,12375,12577,12771,12963,13081,13187,13303,13423,13503
1183,1235,1267,1877,2045,2201,2379,3423,3673,3855,4037,4251,4465,4647,4793,4953,5057,5129,5287,5433,5553,5657,5761,5857,6001,6109,6201,6275,6521,6677,6809,6917,6987,7143,7297,7461,7575,7721,7831,7923,7993,8155,8319,8497,8631,8785,9053,9217,9361,9483,9589,9697,9791,9903,9975,10121,10305,10527,10671,10813,10915,11015,11085,11245,11401,11533,11639,11755,11847,11993,12101,12195,12265,12451,12625,12823,13017,13141,13283,13395,13491,13559
