e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,b,k,f,f,c,g,j,c,b,k,h,h,k,d,d,c,b
1985,2189,2337,2533,2707,2849,2949,3029,3189,3351,3467,3575,3689,3783,3887,4011,4127,4205,4451,4667,4839,4993,5113,5225,5305,5433,5581,5705,5821,5937,6031,6135,6215,6353,6535,6697,6815,6913,7037,7149,7229
2063,2237,2399,2603,2759,2923,3023,3091,3265,3423,3539,3645,3747,3839,3987,4097,4191,4259,4503,4775,4917,5069,5189,5293,5365,5511,5659,5783,5895,5999,6093,6207,6271,6433,6585,6747,6871,7011,7123,7215,7283
