h,h,h,h,h,f,c,b,k,f,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,b,k,h,h,e,k,f,f,c,g,j,c,b,h,e,h,f,c,b,k,f,f,c,b,k
1089,1447,1613,1811,1979,2125,2229,2309,2439,2605,2915,3129,3407,3561,3659,3743,3937,4093,4217,4325,4441,4537,4637,4759,4871,4951,5135,5333,5545,5763,5905,6017,6131,6227,6335,6453,6565,6645,6855,7011,7137,7245,7355,7451,7559,7681,7795,7875,8019,8241,8443,8633,8779,8885,8969,9099,9259,9385,9497,9577,9719,9877,10009,10121,10239,10333,10443,10561,10679,10759,11095,11291,11469,11623,11755,11863,11947,12075,12259,12465,12679,12863,13023,13147,13259,13373,13469,13579,13657,13987,14197,14441,14585,14695,14779,14915,15081,15209,15319,15401,15585
1117,1481,1661,1851,2025,2195,2295,2361,2515,2677,2963,3245,3455,3627,3727,3799,4009,4167,4291,4389,4503,4593,4733,4843,4935,5005,5209,5383,5597,5813,5981,6091,6193,6289,6433,6541,6633,6699,6933,7085,7213,7317,7419,7513,7657,7767,7861,7933,8097,8291,8547,8687,8853,8955,9025,9181,9335,9459,9571,9643,9797,9955,10083,10189,10301,10395,10541,10649,10743,10817,11149,11413,11547,11701,11833,11935,12003,12155,12313,12521,12779,12945,13099,13225,13333,13437,13529,13651,13719,14039,14337,14495,14663,14765,14835,14993,15157,15287,15393,15463,15665
