e,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,h,e,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,h,f,c,b,k,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b
1997,2283,2461,2647,2823,2973,3139,3289,3391,3471,3615,3771,3895,4003,4117,4211,4315,4437,4553,4631,4759,4973,5157,5295,5393,5515,5627,5707,5955,6127,6303,6433,6571,6675,6791,6887,6993,7115,7227,7309,7439,7595,7731,7841,7957,8051,8161,8279,8399,8483,8621,8781,8905,9015,9097,9227,10189,10927,11107,11279,11463,11611,11775,11905,12013,12097,12223,12373,12497,12603,12719,12815,12921,13041,13153,13239,13383,13541,13667,13775,13857,13993,14153,14291,14409,14523,14621,14729,14855,14967,15051,15513,15671,15857,15997,16143,16249,16331,16463,16743,16907,17059,17185,17295,17417,17509,17621,17699,17847,18003,18135,18243,18363,18463,18571,18695,18809,18893,19323,19503,19627,19733,19857,19975,20057
2055,2313,2493,2685,2857,3027,3189,3357,3457,3527,3693,3841,3969,4071,4175,4269,4413,4521,4617,4687,4831,5023,5211,5349,5489,5599,5699,5763,6003,6177,6357,6481,6643,6749,6855,6947,7091,7195,7295,7363,7513,7669,7805,7913,8015,8109,8255,8373,8465,8537,8697,8855,8979,9089,9151,9303,10231,10965,11159,11331,11515,11663,11827,11979,12083,12151,12307,12447,12571,12677,12779,12873,13017,13129,13217,13295,13457,13615,13741,13845,13911,14075,14231,14369,14479,14585,14683,14827,14941,15039,15111,15563,15725,15921,16051,16219,16319,16383,16543,16837,16987,17135,17255,17369,17477,17571,17691,17757,17929,18079,18209,18311,18425,18519,18671,18781,18875,18947,19375,19557,19687,19835,19945,20045,20113
