h,h,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
901,1283,1469,1663,1829,1987,2119,2223,2305,2449,2613,2767,2875,2993,3091,3195,3317,3425,3507,3791,3999,4207,4355,4471,4583,4695,4791,4903,5027,5145,5225,5357,5517,5647,5757,5881,5979,6083,6205,6319,6403,6533,6689,6825,6935,7017,7241,7413,7579,7707,7807,7927,8045,8131,8355,8515,8645,8757,8843,8983,9145,9271,9381,9505,9601,9711,9839,9959,10045,10391,10555,10687,10807,10919,11007,11133,11295,11435,11547,11667,11767,11877,11961,12095,12261,12397,12513,12597,12753,13159,13323,13451,13555,13681,13803,13887
927,1311,1499,1695,1881,2023,2185,2289,2359,2525,2683,2833,2941,3051,3147,3295,3401,3491,3561,3857,4049,4253,4423,4545,4651,4757,4853,4997,5115,5213,5283,5433,5591,5719,5821,5937,6031,6181,6289,6387,6453,6609,6761,6897,7003,7063,7321,7461,7629,7755,7903,8013,8103,8177,8431,8591,8719,8821,8893,9059,9215,9345,9451,9565,9661,9807,9923,10031,10097,10429,10597,10763,10883,10987,11059,11209,11373,11513,11615,11729,11821,11943,12011,12169,12337,12471,12581,12649,12825,13205,13371,13505,13659,13769,13871,13939
