h,h,e,h,e,e,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,h,e,k,f,h,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,d,c,b,k,k,h,e,e,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e
973,1143,1343,1499,1671,1841,1989,2087,2201,2295,2395,2507,2625,2697,2855,3005,3121,3229,3333,3423,3527,3645,3757,3831,3961,4117,4239,4341,4423,4549,4699,4813,4935,5035,5127,5229,5307,5467,5653,5843,6009,6167,6419,6695,6853,7027,7155,7297,7397,7475,7601,7751,7873,7977,8083,8173,8279,8391,8515,8621,8697,8853,9027,9217,9653,9863,10009,10149,10277,10379,10457,10581,10727,10849,10957,11067,11157,11267,11381,11493,11571,12667,12869
1007,1175,1399,1533,1715,1887,2057,2145,2251,2343,2489,2587,2681,2749,2927,3079,3193,3297,3389,3485,3625,3727,3819,3879,4033,4189,4309,4407,4475,4623,4773,4887,5001,5095,5189,5287,5355,5539,5697,5945,6083,6235,6469,6745,6909,7085,7205,7367,7465,7531,7675,7825,7945,8043,8143,8233,8375,8489,8597,8689,8755,8929,9109,9269,9709,9943,10081,10223,10347,10443,10511,10653,10799,10919,11019,11119,11213,11361,11465,11555,11619,12703,12925
