h,h,e,h,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,h,h,j,d,d,c,b
869,1227,1395,1615,1809,1983,2157,2289,2395,2473,2609,2761,2881,2989,3107,3201,3305,3431,3541,3619,3797,3957,4081,4189,4303,4399,4503,4583,4737,4887,5013,5123,5205,5339,5531,5727,5889,6037,6167,6279,6391,6485,6589,6707,6821,6903,7193,7399,7559,7709,7829,7941,8055,8149,8253,8331,8491,8681,8873,8995,9095,9211,9325,9405,9571,9779,10003,10129,10251,10355,10479,10573,10677,10801,10919,10999,11127,11287,11421,11669,11837,11967,12067,12189,12301,12385
895,1257,1449,1647,1841,2031,2207,2359,2457,2525,2679,2831,2953,3053,3165,3255,3409,3513,3603,3671,3869,4029,4151,4255,4363,4453,4567,4633,4807,4959,5087,5191,5255,5413,5581,5833,5963,6115,6243,6343,6451,6539,6685,6793,6881,6949,7239,7489,7629,7783,7905,8005,8111,8205,8315,8383,8565,8733,8909,9051,9195,9295,9389,9459,9645,9827,10049,10205,10329,10419,10537,10629,10779,10891,10983,11049,11205,11359,11493,11721,11891,12021,12169,12275,12365,12431
