e,h,e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,g,j,d,d,c,b,k,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k
1953,2139,2281,2465,2647,2811,2941,3039,3119,3273,3421,3543,3649,3763,3857,3963,4077,4189,4267,4413,4599,4773,4909,5017,5101,5225,5383,5507,5621,5739,5833,5939,6061,6177,6251,6383,6567,6753,6893,7029,7133,7245,7341,7447,7569,7687,7767,7903,8137,8283,8407,8515,8631,8723,8835,8955,9067,9145,9533,9727,9885,10031,10133,10221,10351
2043,2173,2341,2491,2689,2845,3009,3107,3175,3349,3493,3615,3717,3817,3917,4057,4161,4249,4319,4487,4643,4823,4987,5091,5161,5307,5459,5583,5689,5797,5891,6035,6145,6239,6309,6461,6615,6811,6943,7105,7203,7305,7399,7547,7657,7751,7821,7981,8211,8359,8481,8583,8689,8789,8935,9043,9137,9207,9577,9777,9935,10103,10205,10279,10433
