j,e,e,h,e,h,f,c,b,h,h,e,h,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,h,e,k,e
2187,3141,3787,3937,4073,4407,4549,4651,4731,5619,5763,5951,6099,6237,6339,6449,6543,6647,6761,6879,6957,7443,7619,7781,7923,8041,8149,8259,8353,8455,8573,8687,8767,8911,9055,9183,9289,9403,9499,9607,9683,10597,10793,10987,11559
2231,3173,3825,3971,4139,4443,4621,4717,4783,5655,5813,6011,6149,6311,6411,6511,6603,6745,6851,6945,7011,7485,7723,7855,7995,8115,8223,8319,8409,8551,8659,8755,8819,8983,9131,9259,9361,9467,9561,9671,9737,10635,10897,11069,11667
