f,c,g,j,d,d,c,b,h,e,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,b,k,f,f,f,c,g,j,c,b
69,175,289,379,485,605,715,793,1981,2183,2347,2483,2599,2705,2799,2901,3017,3133,3209,3343,3507,3633,3745,3857,3953,4055,4173,4285,4365,4787,4971,5135,5287,5405,5521,5599,5743,5907,6035,6161,6265,6381,6473,6585,6663
135,241,345,441,583,691,783,849,2029,2235,2397,2557,2667,2763,2855,2997,3103,3193,3263,3417,3577,3703,3809,3919,4009,4151,4259,4351,4417,4835,5081,5207,5359,5481,5587,5653,5825,5981,6113,6233,6335,6441,6533,6655,6723
