e,e,h,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,e,j,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,j,f,f,c,b
2015,2215,2963,3091,3265,3431,3621,3779,3941,4045,4123,4267,4419,4539,4645,4753,4847,4953,5073,5183,5263,5425,5575,5693,5805,5889,6015,6191,6355,6543,6695,6843,6961,7075,7187,7281,7387,7511,7625,7701,7825,7983,8153,8277,8375,8497,8607,8687,8885,9041,9173,9283,9399,9493,9597,9721,9833,10733,10905,11051,11155,11235,11361,11511,11631,11739,11855,11947,12051,12169,12281,12363,12505,12657,12779,12889,12967
2067,2353,2995,3155,3311,3487,3679,3833,4011,4115,4187,4345,4491,4611,4717,4813,4905,5049,5159,5253,5321,5499,5649,5769,5877,5947,6097,6243,6409,6637,6769,6917,7037,7151,7249,7345,7485,7601,7695,7759,7905,8039,8209,8339,8471,8581,8679,8745,8967,9119,9249,9355,9463,9553,9695,9801,9973,10777,10953,11127,11227,11291,11439,11587,11707,11811,11919,12011,12151,12257,12349,12421,12585,12731,12855,12959,13027
