h,e,h,f,c,b,k,f,f,c,b,k,h,h,e,k,f,f,c,b,k,h,e,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b
1833,1973,2145,2295,2389,2471,2613,2773,2889,3003,3081,3205,3391,3541,3723,3919,4065,4181,4291,4369,4511,4687,4865,4967,5077,5169,5277,5391,5513,5591,5807,5993,6187,6343,6463,6571,6687,6779,6887,6965,7129,7319,7503,7645,7761,7867,7985,8079,8185,8309,8421,8503,8645,8829,9029,9223,9377,9499,9611,9721,9817,9925,10043,10159,10239,10451,10623,10753,10855,10975,11103,11183
1863,2035,2187,2359,2453,2523,2685,2845,2961,3071,3137,3281,3437,3591,3851,3993,4139,4251,4359,4421,4591,4739,4913,5041,5135,5223,5373,5483,5577,5647,5857,6105,6267,6417,6539,6641,6745,6837,6953,7021,7205,7367,7557,7719,7833,7931,8043,8133,8285,8397,8485,8557,8725,8877,9159,9299,9453,9573,9679,9781,9871,10025,10133,10223,10295,10501,10673,10811,10957,11071,11171,11237
