e,h,h,e,e,h,h,h,h,e,k,f,f,c,b,k,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,d,d,c,b,k,h,h,e,k,f,f,c,b,k,h,h,j,d,d,c,b,h,h,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h
7,1065,1445,1595,1809,1975,2173,2491,2647,2845,3015,3163,3285,3389,3473,3643,3885,4069,4159,4243,4365,4515,4639,4747,4829,4953,5143,5303,5427,5529,5649,5763,5847,6001,6167,6287,6393,6519,6609,6713,6795,6927,7101,7223,7337,7451,7549,7653,7775,7887,7967,8703,8889,9041,9193,9317,9425,9539,9633,9739,9863,9981,10065,10205,10391,10567,10769,10943,11099,11231,11339,11421,11565,11741,11897,12005,12107,12229,12347,12429,12835,13015,13179,13383,13661,13817,13921,14005,14131,14285,14411,14521,14635,14733,14837,14915,15065,15277
129,1091,1473,1645,1857,2025,2223,2531,2697,2933,3085,3235,3357,3465,3527,3715,3929,4101,4223,4295,4439,4589,4713,4813,4881,5031,5191,5359,5483,5627,5735,5827,5897,6073,6239,6357,6457,6571,6663,6779,6843,7005,7175,7297,7407,7513,7607,7747,7859,7951,8023,8737,8969,9111,9267,9387,9489,9595,9687,9837,9953,10045,10117,10277,10429,10611,10869,11019,11175,11303,11411,11473,11641,11791,11949,12063,12209,12321,12413,12479,12877,13053,13229,13505,13715,13891,13993,14057,14207,14359,14489,14587,14697,14791,14905,14967,15143,15325
