h,e,h,j,d,d,c,b,h,h,h,e,h,h,f,c,b,k,f,f,c,b,k,c,g,j,d,d,c,b,k,k,e,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,h,h,e,k,c,g,j,c,b,k,h,h,f,c,b
47,211,359,479,579,699,817,897,1979,2171,2343,2543,2751,2911,3047,3153,3239,3363,3515,3635,3743,3829,3953,4111,4223,4315,4419,4541,4655,4737,4871,5035,5245,5425,5579,5711,5821,5941,6037,6141,6221,6455,6663,6815,6929,7033,7151,7277,7359,7845,7989,8181,8333,8521,8631,8729,8835,8919,9053,9261,9439,9609,9717,9803
97,255,403,533,675,789,875,945,2009,2201,2389,2597,2797,2957,3121,3219,3287,3437,3589,3709,3813,3879,4029,4177,4279,4371,4519,4627,4721,4787,4943,5087,5353,5497,5651,5781,5891,5999,6095,6207,6271,6527,6709,6867,6985,7133,7241,7341,7405,7873,8039,8219,8415,8591,8691,8783,8899,8967,9127,9311,9487,9685,9785,9849
