h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,e,h,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,f,c,g,j,d,d,c,b,k,c,g,j,c,b,k,f,f,c,g,j,d,d
1989,2167,2333,2567,2721,2827,2909,3061,3221,3343,3451,3563,3661,3769,3895,4005,4087,4231,4381,4503,4613,4697,4827,5029,5165,5291,5401,5517,5615,5721,5847,5961,6043,6177,6331,6449,6563,6647,6801,6993,7161,7317,7433,7545,7641,7747,7875,7993,8077,8253,8439,8557,8651,8763,8845,8977,9135,9261,9379,9503,9601,9713,9839
2033,2237,2403,2617,2791,2895,2963,3133,3291,3413,3517,3623,3715,3865,3977,4069,4143,4297,4451,4575,4683,4751,4901,5085,5217,5363,5473,5577,5671,5819,5931,6027,6099,6257,6405,6519,6635,6699,6871,7041,7213,7393,7507,7603,7703,7847,7963,8065,8131,8329,8513,8619,8719,8831,8905,9057,9211,9339,9457,9567,9663,9811,9925
