f,c,b,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,c,h,h,j,d,d,c,b,k,f,f,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,h,h,j,c,b,k
77,191,273,1553,1713,1853,1987,2093,2181,2309,2459,2587,2697,2781,2919,3077,3193,3303,3417,3513,3617,3909,4095,4223,4325,4445,4565,4645,4773,4927,5047,5163,5249,5485,5665,5875,6065,6213,6335,6447,6561,6657,6761,6843,6977,7139,7265,7377,7493,7589,7699,7783,8197,8355,8493,8615,8697,8851
151,259,327,1589,1767,1899,2063,2165,2233,2387,2535,2663,2767,2831,2999,3153,3267,3373,3479,3571,3675,3957,4147,4279,4421,4533,4629,4697,4849,5001,5123,5233,5295,5563,5717,5991,6141,6289,6411,6519,6621,6709,6825,6889,7051,7215,7343,7447,7553,7651,7763,7833,8243,8407,8557,8687,8753,8927
