e,h,h,f,c,b,k,f,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,d,c,b,k,e,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,h,k,c,g,j,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b
277,1817,1991,2119,2219,2295,2471,2603,2795,2973,3121,3237,3341,3453,3549,3649,3765,3875,3951,4109,4255,4375,4481,4593,4685,4787,4907,5031,5141,5217,5353,5571,5709,5837,5941,6053,6147,6247,6369,6483,6563,6695,6849,6973,7081,7197,7289,7399,7599,7775,7927,8045,8157,8273,8367,8471,8549,8677,8839,8967,9071,9189,9285,9387,9509,9623,9707,9845,10043,10385,10507,10609,10731,10843,10927,11049,11249,11457,11629,11739,11833,11937,12017,12145,12299,12427,12537,12619,12777,12929,13055,13165,13283,13383,13485,13605,13721,13801,14095,14271,14389,14491,14615,14729,14813
315,1845,2021,2175,2277,2343,2523,2665,2897,3039,3187,3301,3401,3509,3601,3741,3845,3933,3999,4177,4321,4445,4545,4647,4733,4881,4997,5111,5199,5265,5421,5605,5753,5907,6003,6109,6191,6343,6453,6541,6611,6767,6915,7041,7147,7251,7337,7449,7697,7845,7995,8119,8223,8335,8421,8535,8605,8751,8909,9037,9137,9249,9339,9483,9593,9687,9753,9915,10087,10417,10563,10707,10815,10903,10973,11117,11295,11529,11693,11799,11885,11997,12065,12223,12369,12495,12603,12671,12849,13001,13125,13229,13343,13435,13581,13691,13785,13849,14133,14315,14439,14589,14699,14791,14857
