h,h,e,h,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,e,k,f,f,c,g,j,d,d,c,b,k,h,h,e,c,b,k,f,f,c,g,j,c,b,k,f,k,c,g,j,c,b,k,f,f,c,b,k,e,h,f,c,g,j,c,b,k,h,e,k,f,f,c,b,k,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b
817,1161,1327,1505,1993,2173,2365,2523,2665,2769,2855,2999,3147,3275,3385,3499,3593,3703,3783,3911,4107,4281,4463,4645,4797,4923,5031,5153,5249,5351,5477,5589,5673,5805,6003,6185,6353,6469,6551,6677,6835,6957,7069,7187,7281,7391,7471,7603,7763,7937,8121,8237,8331,8439,8519,8669,8833,8957,9069,9155,9279,9503,9641,9781,9887,10001,10095,10205,10287,10459,10659,10877,11009,11169,11297,11407,11493,11631,11807,11997,12183,12299,12381,12513,12679,12807,12921,13039,13133,13243,13361,13475,13557
845,1189,1381,1535,2021,2233,2431,2571,2735,2833,2905,3063,3217,3349,3449,3555,3651,3765,3835,3989,4155,4333,4583,4727,4873,4995,5101,5211,5299,5455,5559,5649,5725,5877,6049,6237,6399,6533,6605,6751,6911,7033,7139,7247,7337,7453,7523,7679,7839,8011,8189,8291,8387,8503,8573,8749,8907,9037,9141,9213,9357,9557,9699,9861,9959,10061,10157,10273,10343,10533,10707,10945,11085,11245,11377,11475,11547,11709,11857,12047,12237,12369,12443,12595,12759,12881,12989,13099,13193,13341,13451,13543,13611
