h,j,d,d,c,b,h,e,h,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,e,c,g,j,d,d,c,b
49,175,275,401,519,599,1397,1611,1981,2135,2269,2377,2459,2585,2753,2875,2989,3103,3199,3301,3383,3513,3703,3887,4013,4115,4231,4349,4431,4631,4843,4943,5057,5155,5261,5385,5503,5583
95,229,375,489,583,647,1425,1683,2027,2177,2345,2443,2507,2657,2823,2947,3055,3161,3253,3359,3429,3583,3747,3931,4061,4211,4319,4407,4477,4707,4881,5009,5117,5207,5353,5473,5573,5639
