e,e,h,e,h,h,h,e,h,f,c,b,k,f,f,c,g,j,c,b,e,h
1187,1823,1993,2141,2739,2905,3101,3289,3537,3667,3771,3853,4017,4169,4301,4407,4529,4625,4729,4807,5189,6247
1227,1873,2027,2195,2765,2953,3131,3343,3569,3737,3835,3903,4087,4243,4373,4479,4589,4685,4795,4861,5305,6275
