h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,e,h,f,f,c,g,j,c,b
1173,1657,1833,1989,2111,2187,2351,2511,2653,2767,2881,2977,3085,3207,3321,3399,3539,3711,3843,3953,4037,4173,4337,4455,4563,4681,4779,4889,5009,5125,5205,5347,5513,5639,5749,5835,5979,6219,6403,6551,6683,6793,6909,7005,7111,7189
1201,1689,1875,2057,2171,2239,2421,2583,2723,2827,2941,3033,3181,3291,3383,3455,3615,3785,3917,4023,4093,4253,4409,4529,4637,4743,4841,4989,5093,5193,5261,5423,5589,5717,5819,5889,6055,6277,6457,6631,6761,6867,6971,7065,7179,7247
