g,j,c,b,h,e,h,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,h,e,k,f,f,c,b,k,h,h,h,j,d,d,c,b
53,151,255,335,1509,1703,1985,2145,2331,2501,2657,2783,2891,3007,3105,3211,3333,3457,3541,3675,3839,3965,4073,4155,4335,4539,4707,4833,4937,5061,5187,5269,5407,5583,5707,5827,5945,6043,6153,6235,6363,6539,6667,6781,6901,6995,7107,7235,7349,7431,7875,8049,8179,8285,8413,8529,8613,8769,8933,9063,9177,9259,9411,9575,9715,9827,9915,10099,10311,10507,10643,10749,10877,10991,11075,11419,11599,11825,11975,12135,12267,12375,12461,12613,12821,12997,13179,13309,13413,13541,13659,13745
115,209,323,393,1545,1743,2031,2197,2427,2573,2731,2857,2957,3069,3161,3307,3429,3523,3595,3753,3917,4041,4141,4211,4407,4583,4757,4891,5043,5159,5253,5323,5481,5659,5783,5895,6007,6101,6219,6291,6441,6615,6743,6853,6961,7055,7207,7323,7411,7483,7925,8099,8235,8389,8503,8599,8667,8845,9009,9137,9245,9313,9489,9651,9793,9897,9971,10175,10365,10561,10701,10851,10967,11063,11131,11465,11645,11903,12051,12211,12341,12445,12511,12687,12871,13047,13229,13363,13519,13633,13725,13797
