e,e,e,h,e,h,e,h,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,h,e,c,b,j,f,f,c,b,k,f,f,c,g,j,d,d,c,b
153,575,2243,2499,2613,2809,2935,3101,3377,3561,3755,3917,4021,4097,4235,4381,4505,4621,4727,4821,4927,5043,5153,5233,5545,5709,5833,5977,6077,6159,6281,6431,6553,6661,6775,6867,6971,7093,7205,7283,7445,7633,7807,7931,8035,8153,8263,8341,8503,8665,8865,8975,9053,9181,9325,9445,9555,9637,9767,9931,10057,10173,10285,10379,10483,10605,10721,10801
283,669,2333,2531,2687,2851,3005,3153,3427,3617,3809,3995,4091,4161,4319,4459,4581,4695,4789,4885,5019,5125,5225,5287,5601,5773,5889,6053,6153,6225,6365,6507,6627,6735,6839,6935,7073,7177,7277,7345,7523,7687,7863,7999,8135,8239,8333,8407,8589,8723,8921,9043,9113,9257,9401,9521,9627,9687,9849,10009,10137,10243,10345,10439,10583,10693,10789,10857
