e,e,e,e,h,e,h,e,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b
183,297,451,763,1031,1177,1369,1553,1985,2143,2289,2391,2471,2615,2773,2901,3005,3117,3213,3317,3435,3551,3629
261,335,611,795,1063,1263,1407,1627,2025,2191,2363,2457,2529,2687,2849,2975,3079,3177,3279,3415,3525,3623,3691
