e,h,h,h,h,h,e,h,f,c,b,k,f,f,c,g,j,c,b
93,637,817,1607,1801,1979,2143,2335,2477,2583,2667,2807,2965,3093,3221,3341,3435,3541,3623
151,689,871,1643,1845,2021,2217,2395,2555,2659,2727,2887,3043,3175,3295,3401,3501,3613,3683
