e,h,e,h,e,h,h,h,h,f,c,b,k,f,f,c,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,c,g,j,d,d,c,b,k,f,f,c,b,k,e,h,f,c,g,j,d,d,c,b
1425,1663,1803,1983,2167,2385,2601,2863,3045,3191,3299,3383,3513,3669,3795,3909,4231,4407,4541,4653,4739,4869,5019,5139,5249,5367,5463,5571,5653,5785,5945,6077,6191,6303,6399,6507,6625,6745,6825,6987,7143,7269,7385,7469,7609,7759,7879,7995,8079,8213,8391,8507,8603,8711,8835,8951,9035,9177,9337,9467,9581,9665,9809,10001,10143,10287,10391,10511,10609,10715,10843,10957,11037
1459,1689,1877,2027,2225,2421,2645,2903,3097,3265,3361,3431,3585,3743,3867,3973,4287,4451,4613,4721,4789,4947,5095,5217,5315,5429,5525,5637,5705,5867,6025,6157,6261,6367,6463,6611,6711,6809,6871,7059,7217,7345,7453,7525,7683,7837,7957,8065,8135,8291,8465,8571,8659,8813,8929,9017,9089,9249,9417,9543,9651,9719,9883,10065,10193,10365,10465,10575,10673,10817,10929,11023,11095
