e,h,h,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,h,h,e,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,e,h,f,c,b
1951,2439,3283,3517,3693,3893,4055,4197,4303,4387,4529,4677,4801,4905,5031,5123,5227,5345,5463,5541,5815,5991,6125,6231,6351,6449,6557,6679,6795,6879,7013,7167,7295,7411,7539,7633,7751,7865,7983,8061,8229,8383,8517,8625,8745,8841,8951,9035,9181,9351,10179,10333,10503,10663,10817,10941,11049,11133,11263,11411,11531,11643,11757,11855,11963,12085,12199,12285,12927,13097,13233,13337,13461,13579,13661,13793,13953,14075,14185,14269,14397,14617,14759,14895,15005,15085
2071,2471,3329,3555,3731,3955,4103,4269,4369,4433,4599,4751,4871,4969,5081,5175,5321,5429,5525,5599,5861,6043,6203,6307,6413,6509,6657,6769,6857,6927,7085,7239,7369,7477,7593,7687,7841,7953,8045,8107,8301,8455,8593,8693,8807,8897,9017,9087,9253,9421,10223,10385,10591,10737,10889,11015,11113,11183,11333,11485,11607,11709,11813,11909,12063,12173,12265,12331,12975,13145,13285,13435,13551,13645,13711,13869,14023,14149,14251,14321,14475,14677,14809,14967,15075,15141
