e,e,e,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,e,k,f,h,h,k,j,d,d,c,b,k
1239,1669,1963,2137,2273,2511,2691,2855,2957,3035,3201,3359,3485,3599,3709,3803,3911,3991,4159,4341,4465,4577,4693,4789,4895,5011,5125,5205,5343,5509,5643,5749,5873,5967,6077,6199,6309,6391,6543,6697,6827,6935,7059,7151,7263,7391,7505,7589,7725,7931,8179,8345,8497,8621,8731,8853,8947,9057,9185,9299,9381,9539,9697,9827,9941,10025,10171,10339,10525,10731,10889,11047,11271,11465,11617,11737,11841,11967,12079,12163,12295
1299,1711,2027,2171,2345,2579,2737,2923,3021,3091,3275,3433,3559,3665,3771,3869,3983,4047,4239,4413,4541,4647,4759,4855,4993,5099,5195,5263,5425,5585,5717,5823,5933,6031,6179,6285,6377,6447,6619,6773,6903,7009,7115,7219,7367,7479,7579,7649,7803,7985,8279,8427,8573,8699,8807,8915,9009,9157,9271,9371,9439,9625,9775,9907,10013,10085,10253,10389,10577,10835,10977,11127,11329,11521,11673,11799,11943,12053,12151,12223,12375
