h,e,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,e,k,f,f,c,g,j,d,d,c,b
1513,1661,1985,2157,2295,2389,2471,2653,2803,2915,3023,3143,3235,3335,3457,3567,3645,3775,3921,4043,4149,4231,4367,4573,4763,4955,5113,5279,5407,5511,5627,5721,5825,5941,6057,6133
1545,1717,2023,2191,2361,2453,2523,2725,2873,2985,3087,3199,3287,3431,3541,3631,3693,3849,3991,4113,4215,4281,4443,4619,4817,5063,5193,5351,5479,5577,5685,5777,5921,6027,6119,6181
