e,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,c,b,h,h,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,f,c,g,j,d,d,c,b
1949,2135,2281,2441,2599,2737,2843,2921,3047,3237,3361,3469,3587,3681,3785,3865,3997,4155,4283,4387,4507,4601,4705,4785,4935,5097,5221,5331,5445,5535,5639,5755,5871,5949,6209,6399,6555,6707,6829,6935,7047,7139,7245,7323,7761,7909,8037,8139,8259,8371,8451,8573,8765,8971,9151,9303,9427,9533,9645,9739,9845,9921,10049,10203,10323,10431,10545,10639,10743,10823,10977,11175,11351,11481,11589,11705,11799,11905,12027,12139,12219
2015,2183,2343,2495,2645,2809,2907,2971,3125,3309,3437,3541,3649,3741,3849,3919,4069,4229,4357,4455,4567,4659,4767,4837,5013,5169,5295,5399,5503,5593,5739,5843,5937,5999,6257,6503,6633,6783,6903,7007,7107,7199,7311,7379,7811,7959,8103,8235,8349,8437,8503,8647,8815,9081,9233,9377,9503,9603,9703,9799,9905,9975,10127,10277,10399,10507,10607,10699,10813,10883,11055,11223,11401,11559,11659,11767,11859,12009,12111,12209,12279
