h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,e,k,f,f,c,g,j,d,d,c,b,h,h,f,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,h,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
2261,2437,2587,2701,2781,2925,3081,3227,3335,3457,3555,3665,3789,3905,3987,4329,4531,4741,4913,5063,5197,5307,5423,5519,5627,5749,5865,5945,6205,6373,6501,6625,6765,6875,6959,7093,7247,7375,7493,7615,7711,7819,7901,8059,8217,8339,8451,8565,8665,8773,8893,9013,9091,9261,9469,9661,9785,9889,10011,10125,10209,10443,10611,10919,11053,11161,11249,11387,11539,11671,11789,11873,12021,12211,12383,12517,12627,12745,12863,12947
2287,2475,2659,2765,2829,2991,3149,3295,3397,3513,3607,3765,3875,3971,4043,4379,4583,4823,4989,5139,5271,5377,5477,5569,5727,5837,5933,5997,6255,6429,6577,6701,6841,6945,7015,7173,7323,7449,7561,7675,7771,7889,7953,8127,8287,8415,8519,8621,8719,8873,8981,9077,9151,9339,9519,9713,9841,9991,10101,10191,10255,10485,10657,10961,11129,11231,11299,11459,11615,11751,11859,11923,12099,12259,12439,12579,12723,12835,12931,13005
