e,e,h,e,e,h,h,h,e,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,h,e,h,j,d,d,c,b,k,f,h,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,h,h,e,c,b,k,f,f,c,g,f,d,d,c,b,k,h,h,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b
51,1773,1993,2135,2375,2593,2815,2983,3307,3533,3693,3815,3925,4043,4139,4243,4365,4481,4561,4701,4915,5123,5287,5439,5561,5669,5783,5879,5985,6065,6195,6349,6471,6585,6707,6805,6913,6991,7117,7277,7403,7517,7605,7733,7889,8019,8133,8249,8343,8455,8575,8689,8769,8897,9099,9271,9393,9495,9615,9733,9815,10163,10323,10503,10631,10765,10867,10985,11099,11181,11335,11483,12097,12251,12417,12523,12605,12727,12883,13007,13115,13205,13335,13595,13751,13871,13973,14091,14207,15095,15241,15425,15541,15625,15745,15895,16017,16125,16245,16341,16453,16575,16693,16777,16903,17099,17325,17479,17647,17745,17847,17975,18093,18177,18327,18481,18613,18723,18813,18951,19119,19247,19357,19473,19573,19683,19767
123,1851,2027,2199,2433,2623,2845,3027,3449,3605,3765,3885,3989,4095,4191,4341,4453,4545,4613,4773,4963,5227,5359,5511,5637,5735,5837,5931,6047,6115,6269,6425,6549,6661,6771,6871,6985,7047,7201,7353,7479,7583,7653,7807,7963,8093,8201,8307,8405,8551,8661,8755,8823,8983,9151,9321,9453,9597,9705,9799,9863,10213,10373,10561,10679,10823,10969,11071,11171,11243,11411,11561,12135,12299,12467,12597,12667,12813,12963,13085,13187,13259,13407,13643,13799,13923,14073,14181,14275,15129,15287,15477,15609,15671,15825,15971,16095,16197,16305,16401,16555,16665,16757,16829,16983,17149,17377,17531,17707,17803,17951,18063,18155,18231,18401,18555,18687,18801,18865,19035,19191,19325,19431,19537,19629,19751,19823
