h,h,h,h,h,h,f,c,b,h,f,c,b,k,f,f,c,g,k,d,d,c,b,h,h,f,c,b,k,f,e,k,f,f,c,g,j,d,d,c,b,k,f,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,f,c,b,k,h,h,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,h,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k
933,1319,1995,2177,2423,2679,2823,2931,3013,3549,3679,3783,3867,4049,4199,4333,4449,4565,4663,4771,4889,5001,5079,5485,5641,5777,5885,5969,6097,6245,6463,6605,6761,6885,7011,7131,7223,7331,7455,7569,7651,7781,7939,8065,8199,8313,8435,8529,8635,8771,8881,8963,9101,9303,9465,9587,9687,9813,9931,10011,10171,10323,10447,10567,10681,10765,10905,11113,11307,11457,11583,11707,11825,11921,12029,12151,12267,12351,12597,12785,12919,13025,13149,13265,13349,14151,14319,14443,14553,14641,14765,14917,15045,15159,15247,15375,15529,15655,15769,15881,15979,16089,16173,16317
959,1347,2021,2211,2455,2713,2891,2993,3057,3585,3747,3855,3923,4123,4271,4407,4517,4619,4711,4865,4967,5063,5131,5529,5691,5853,5953,6017,6167,6319,6529,6677,6833,6955,7067,7187,7277,7429,7539,7629,7695,7853,8011,8139,8273,8377,8487,8579,8733,8855,8955,9023,9179,9353,9523,9645,9791,9905,9997,10063,10243,10397,10521,10645,10749,10821,10983,11165,11361,11533,11653,11773,11883,11977,12129,12241,12335,12411,12649,12839,12981,13127,13239,13329,13399,14183,14363,14517,14615,14685,14837,14987,15119,15225,15293,15455,15609,15729,15837,15943,16037,16157,16227,16391
