h,e,h,e,h,f,c,b,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,h,e,h,f,c,b,k,f,f,c,b,k,h,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,h,e,h,f,c,b,k,f,f,f,c,b
1175,1361,1657,1847,1993,2123,2237,2313,2815,2979,3141,3295,3427,3527,3605,3735,3883,4003,4113,4225,4321,4421,4541,4651,4727,4907,5057,5177,5281,5397,5491,5597,5713,5823,5903,6251,6423,6543,6679,6779,6861,7315,7479,7615,7743,7845,7927,8051,8201,8321,8437,8515,8647,8821,8995,9149,9285,9407,9515,9625,9719,9825,9945,10063,10141,10277,10437,10559,10667,10787,10881,10987,11107,11219,11301,11439,11645,11799,11931,12037,12123,12255,12413,12539,12655,12737,12873,13025,13157,13269,13389,13483,13589,13709,13821,13903,14705,14895,15053,15227,15349,15485,15591,15671,15799,15949,16071,16193,16297,16383
1203,1403,1687,1879,2031,2195,2295,2361,2851,3031,3203,3341,3497,3599,3669,3817,3955,4075,4179,4283,4375,4521,4627,4719,4783,4981,5129,5251,5355,5459,5553,5693,5797,5889,5959,6299,6475,6597,6757,6851,6917,7365,7539,7671,7815,7923,7987,8133,8277,8395,8507,8573,8725,8873,9051,9201,9361,9479,9581,9687,9779,9929,10035,10127,10195,10351,10507,10633,10737,10843,10933,11087,11193,11283,11353,11517,11699,11843,12007,12111,12177,12339,12489,12615,12723,12793,12951,13099,13233,13337,13447,13539,13689,13799,13887,13955,14749,14945,15103,15277,15397,15559,15657,15723,15875,16023,16145,16267,16367,16435
