e,e,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,j,h,e,c,b,k,f,k,e,c,j,j,d,d,c,b,k,f,f,c,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,k,h,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f
655,1957,2749,2981,3191,3381,3579,3749,3889,3993,4075,4203,4371,4501,4613,4735,4827,4935,5059,5175,5255,5399,5591,5769,5901,5985,6119,6285,6469,6683,6807,6919,7013,7125,7249,7365,7447,7579,7741,7873,7987,8153,8361,8515,8643,8751,8881,8999,9079,9219,9393,9519,9629,9715,9885,10053,10173,10283,10367,10539,10743,10919,11059,11183,11299,11415,11509,11619,11743,11861,11941,12679,12849,12989,13123,13237,13323,13453,13611
689,2017,2785,3009,3225,3441,3641,3801,3959,4059,4133,4285,4445,4575,4687,4797,4893,5033,5145,5247,5313,5473,5639,5825,5969,6045,6199,6361,6547,6743,6873,6975,7073,7223,7335,7433,7509,7659,7815,7951,8061,8237,8415,8571,8709,8855,8963,9069,9141,9303,9471,9595,9699,9771,9967,10129,10253,10353,10427,10615,10793,10977,11137,11263,11371,11477,11573,11721,11831,11927,11999,12727,12901,13039,13199,13311,13381,13533,13689
