h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,b,k,h,h,h,j,d,d,c,b,h,h,h,h,f,c,b,k,f,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k
1851,1993,2095,2175,2307,2455,2573,2679,2787,2879,2981,3089,3195,3271,3527,3719,3883,4027,4143,4247,4355,4449,4551,4627,4759,4907,5029,5133,5241,5335,5439,5553,5663,5739,5955,6167,6343,6481,6597,6703,6815,6909,7011,7125,7239,7315,7459,7605,7731,7835,7915,8051,8251,8457,8631,8779,8895,9001,9113,9207,9309,9423,9537,9615,9791,9947,10065,10171,10253,10391,10549,10677,10785,10901,10993,11095,11219,11333,11411,11713,11913,12143,12289,12415,12521,12603,12739,12943,13123,13299,13425,13525,13641,13757,13837,14175,14351,14551,14717,14847,14957,15041,15171,15321,15847,16011,16139,16275,16385,16465,16615,16785,16921,17027,17109,17239,17389,17511,17633,17743,17837,17945,18023,18171,18515,18687,18819,18917,19037,19153,19233,19421
1881,2051,2151,2219,2369,2521,2637,2733,2835,2931,3067,3167,3257,3321,3573,3807,3953,4093,4213,4309,4407,4499,4609,4675,4825,4977,5097,5197,5297,5387,5531,5635,5723,5787,5999,6257,6405,6551,6663,6767,6871,6963,7103,7213,7301,7363,7529,7675,7803,7899,7965,8121,8293,8529,8699,8851,8967,9065,9159,9257,9403,9509,9597,9663,9863,10019,10135,10233,10301,10463,10619,10749,10849,10957,11047,11195,11309,11395,11459,11761,12027,12213,12359,12487,12587,12651,12813,12987,13167,13341,13473,13619,13725,13821,13889,14219,14407,14601,14767,14925,15027,15097,15249,15395,15891,16059,16193,16351,16457,16525,16693,16855,16991,17087,17157,17315,17463,17585,17705,17803,17899,18011,18079,18247,18563,18737,18871,19021,19123,19215,19287,19495
