e,h,e,h,h,h,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,e,h,f,c,b,k,h,h,e,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,h,j,d,d,c,b
1063,1257,1417,1815,1981,2163,2307,2437,2545,2681,2773,2887,2965,3113,3287,3409,3519,3633,3729,3837,3963,4079,4157,4447,4645,4839,4995,5117,5227,5343,5441,5547,5667,5779,5861,6019,6191,6319,6431,6515,6645,7041,7223,7409,7553,7657,7741,7871,8081,8279,8455,8563,8647,8779,8935,9055,9165,9247,9391,9559,9693,9799,9913,10011,10117,10243,10367,10451,10955,11159,11975,12151,12291,12427,12541,12625,12755,12911,13041,13157,13271,13371,13475,13559,13687,13841,13967,14077,14159,14353,14543,14749,14903,15031,15135,15259,15383,15467
1121,1289,1465,1843,2023,2205,2379,2507,2613,2739,2827,2951,3017,3185,3357,3481,3583,3693,3785,3939,4049,4145,4215,4497,4759,4915,5071,5193,5301,5407,5501,5637,5753,5845,5917,6095,6265,6395,6503,6571,6719,7093,7291,7461,7629,7729,7795,7949,8135,8327,8507,8631,8705,8861,9013,9135,9237,9309,9471,9637,9769,9869,9977,10071,10219,10339,10441,10511,11009,11263,12017,12199,12341,12503,12613,12679,12837,12987,13119,13227,13337,13431,13545,13617,13767,13919,14045,14147,14219,14433,14593,14799,14959,15089,15239,15353,15451,15517
