h,h,e,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,h,f,c,b,k,h,e,j,d,d,c,b,h,h,e,e,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,e,c,b,k,f,f,f,c,b,k,h,f,c,g,j,d,d,c,b
1327,1527,1695,1983,2169,2317,2415,2495,2661,2823,2939,3047,3159,3255,3361,3481,3595,3671,3815,4043,4223,4343,4443,4563,4673,4753,4895,5063,5179,5287,5401,5491,5597,5713,5827,5903,6041,6203,6329,6435,6553,6651,6757,6871,6985,7061,7327,7483,7659,7795,7927,8031,8119,8245,8411,8605,8755,8859,8987,9101,9179,9437,9615,9789,9945,10087,10221,10327,10447,10543,10649,10767,10883,10963,11119,11279,11405,11515,11635,11729,11835,11959,12071,12153,12609,12795,12901,12981,13111,13267,13391,13521,13631,13713,13861,14063,14247,14357,14473,14569,14675,14795,14913,14995
1357,1561,1751,2031,2215,2391,2479,2553,2739,2895,3009,3119,3211,3309,3461,3565,3663,3727,3889,4089,4275,4399,4543,4647,4741,4807,4971,5135,5255,5361,5463,5561,5695,5799,5893,5961,6115,6279,6403,6509,6611,6707,6851,6957,7055,7123,7377,7539,7719,7855,8005,8103,8179,8321,8463,8713,8813,8961,9075,9171,9245,9489,9671,9847,10005,10141,10301,10399,10509,10603,10751,10849,10953,11021,11199,11357,11481,11591,11699,11799,11937,12049,12149,12215,12667,12855,12975,13045,13201,13347,13475,13599,13707,13775,13939,14115,14321,14437,14533,14633,14781,14887,14985,15057
