e,e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,c,g,j,d,d,c,b,h,e,h,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,c,h,h,h,h,e,e,h,f,c,g,j,d,d,c,b,h,h,e,c,b,k,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1205,1377,1553,1699,1861,1993,2099,2173,2315,2479,2603,2715,2823,2917,3027,3141,3255,3333,3589,3757,3889,3993,4107,4199,4303,4417,4533,4611,4833,5009,5147,5287,5403,5509,5593,5721,5875,6001,6119,6229,6323,6427,6547,6663,6741,6873,7027,7165,7271,7353,7493,7641,7767,7875,7989,8085,8191,8401,8605,8755,8939,9085,9245,9377,9517,9621,9735,9833,9937,10057,10171,10251,10567,10743,10899,11013,11095,11219,11413,11537,11637,11757,11869,11949,12081,12237,12357,12469,12551,12709,12877,13007,13115,13235,13329,13435,13559,13671,13751
1255,1415,1589,1765,1897,2057,2159,2227,2387,2547,2671,2777,2877,2967,3117,3225,3323,3387,3641,3803,3961,4055,4165,4251,4393,4503,4595,4663,4881,5069,5195,5357,5473,5581,5645,5799,5947,6071,6179,6289,6383,6529,6635,6727,6797,6949,7097,7235,7345,7409,7567,7717,7841,7943,8047,8141,8245,8455,8647,8803,8993,9139,9305,9433,9593,9691,9791,9887,10035,10145,10231,10303,10617,10793,10953,11083,11153,11297,11461,11591,11737,11843,11935,12003,12159,12313,12435,12531,12601,12783,12953,13081,13189,13295,13387,13535,13643,13735,13811
