e,h,h,h,h,h,e,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,h,e,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,h,h,e,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b
2005,2597,2777,3175,3333,3495,3663,3853,4025,4175,4313,4421,4495,4635,4793,4913,5019,5131,5225,5333,5411,5535,5691,5815,5927,6043,6137,6239,6359,6471,6551,6931,7117,7315,7493,7677,7801,7879,8001,8185,8367,8497,8603,8725,8839,8919,9051,9201,9329,9441,9525,9651,9855,10035,10151,10251,10369,10483,10563,10695,10855,10975,11085,11197,11293,11399,11481,11609,11767,11901,12015,12135,12231,12337,12417,12775,12933,13101,13271,13463,13635,13763,13865,13989,14105,14187,14345,14503,14629,14737,14859,14955,15059,15141,15281,15495,15679,15803,15905,16027,16149,16231,16393,16557,16681,16807,16931,17023,17131,17211
2053,2629,2809,3205,3365,3537,3723,3907,4087,4221,4385,4481,4549,4709,4869,4987,5087,5191,5285,5399,5463,5609,5761,5887,5999,6101,6193,6337,6443,6531,6597,6977,7223,7359,7537,7719,7859,7927,8073,8233,8413,8553,8695,8807,8901,8967,9127,9275,9403,9509,9573,9727,9901,10071,10205,10347,10453,10551,10617,10771,10929,11049,11155,11259,11351,11465,11535,11685,11841,11977,12085,12195,12287,12403,12473,12827,12985,13207,13349,13513,13685,13821,13967,14079,14175,14243,14421,14581,14705,14805,14921,15015,15127,15195,15361,15539,15731,15857,16003,16121,16217,16285,16469,16633,16757,16875,16991,17087,17203,17267
