e,c,b,k,f,f,c,b,k,h,e,h,f,f,c,b,k,h,h,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f
121,227,309,437,585,711,817,903,1033,1583,1767,1987,2125,2243,2347,2433,2569,2749,2921,3047,3167,3279,3363,3491,3657,3785,3893,4013,4107,4219,4297,4481,4659,4807
155,293,359,513,659,783,887,953,1109,1617,1865,2033,2199,2315,2415,2477,2647,2795,2967,3123,3241,3343,3413,3565,3729,3857,3957,4069,4167,4283,4351,4557,4733,4887
