h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,c,b,k,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,b,k,f,f,c,b,k,h,h,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,h,h,h,e,h,f,c,g,j,d,d,c,b
1471,1629,1835,1989,2133,2239,2323,2491,2647,2777,2889,3001,3095,3201,3321,3431,3509,3821,3995,4135,4247,4329,4467,4657,4801,4935,5045,5157,5251,5357,5479,5595,5675,5845,6009,6135,6247,6363,6461,6569,6687,6803,6885,7017,7201,7331,7437,7555,7651,7763,7885,7999,8081,8245,8417,8545,8653,8777,8873,8987,9111,9227,9309,9493,9687,9877,10017,10127,10215,10343,10495,10637,10753,10835,10969,11235,11413,11549,11681,11789,11879,12019,12181,12319,12435,12559,12653,12763,12885,13005,13089,13275,13439,13675,13889,14071,14263,14417,14553,14665,14787,14883,14993,15119,15235,15319
1497,1663,1871,2031,2201,2303,2377,2563,2717,2845,2945,3055,3149,3299,3401,3497,3563,3869,4045,4209,4317,4385,4539,4701,4875,5005,5111,5211,5307,5457,5565,5657,5731,5919,6085,6207,6313,6421,6519,6663,6777,6871,6935,7093,7275,7405,7505,7611,7711,7863,7969,8065,8133,8321,8491,8621,8723,8839,8929,9093,9201,9295,9363,9565,9729,9921,10091,10197,10263,10423,10575,10715,10827,10895,11049,11287,11463,11623,11759,11859,11933,12099,12257,12395,12503,12615,12711,12863,12973,13075,13151,13349,13515,13723,13935,14117,14299,14459,14629,14739,14849,14943,15095,15207,15305,15373
