e,h,e,e,h,f,c,b,k,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
2471,2641,2785,2969,3147,3327,3429,3509,3733,3965,4153,4303,4443,4547,4631,4795,4949,5085,5201,5313,5411,5517,5599,5725,5877,6029,6141,6265,6361,6473,6593,6709,6789,6927,7093,7215,7327,7413,7569,7787,7985,8131,8235,8363,8475,8685,8849,8983,9099,9217,9313,9421,9543,9657,9739,9903,10085,10221,10335,10419,10563,10721,10859,10979,11059,11195,11361,11511,11617,11735,11833,11945,12079,12195,12275
2521,2673,2847,3035,3193,3395,3497,3567,3813,4015,4213,4357,4517,4619,4693,4871,5027,5159,5271,5375,5469,5587,5655,5801,5955,6107,6209,6329,6427,6573,6685,6781,6849,7007,7167,7293,7399,7469,7655,7843,8043,8195,8339,8445,8619,8767,8927,9059,9173,9281,9375,9525,9629,9727,9801,9987,10163,10299,10405,10481,10645,10801,10935,11047,11117,11271,11437,11589,11695,11799,11895,12049,12171,12265,12335
