e,h,h,f,c,b,j,f,f,c,g,j,c,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,e,h,f,c,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,f,c,g,j,d,d,c,b
1579,1981,2159,2303,2403,2485,2617,2777,2909,3027,3131,3227,3333,3655,3803,3905,3987,4113,4271,4395,4499,4611,4703,4805,4927,5035,5115,5269,5419,5547,5659,5771,5867,5973,6051,6177,6395,6519,6651,6753,7053,7209,7363,7481,7589,7699,7795,7897,8019,8133,8209,8337,8491,8615,8725,8807,8939,9103,9229,9345,9427,9551,9737,9911,10031,10133,10253,10365,10443,10979,11151,11299,11433,11537,11619,11743,11889,12009,12121,12207,12337,12513,12679,12793,12895,13013,13129,13211,13345,13503,13631,13759,13865,13979,14071,14179,14299,14417,14497
1623,2009,2201,2371,2469,2533,2687,2845,2981,3091,3187,3281,3391,3709,3873,3975,4039,4189,4345,4467,4563,4669,4759,4903,5013,5097,5169,5341,5491,5623,5727,5829,5923,6033,6103,6249,6441,6569,6723,6821,7099,7257,7439,7557,7657,7759,7853,7999,8103,8199,8261,8413,8563,8689,8793,8863,9015,9181,9305,9413,9481,9631,9789,9963,10085,10229,10337,10427,10495,11027,11209,11351,11503,11601,11671,11813,11963,12083,12189,12257,12415,12563,12727,12851,12993,13103,13193,13265,13417,13579,13709,13835,13931,14037,14133,14279,14389,14481,14553
