e,h,e,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,h,j,d,d,c,b,k,h,e,c,b,k,f,f,c,b,k,e,c,g,j,d,d,c,b,e
1685,1815,1979,2125,2295,2451,2599,2737,2833,2913,3055,3205,3319,3427,3539,3631,3735,3813,3947,4141,4339,4495,4637,4759,4863,4973,5067,5171,5287,5395,5477,5605,5787,5991,6147,6297,6419,6523,6605,6731,6883,7007,7115,7231,7323,7427,7545,7655,7735,7861,8029,8337,8503,8675,8791,8891,9011,9121,9201,9353,9525,9709,9813,9893,10019,10165,10285,10397,10481,10619,10813,10919,11031,11123,11225,11345,11459,11535,12299
1713,1847,2039,2171,2341,2511,2653,2805,2901,2969,3129,3275,3389,3495,3601,3689,3803,3867,4023,4189,4435,4569,4709,4831,4929,5035,5125,5265,5373,5463,5533,5679,5839,6081,6221,6371,6491,6595,6663,6809,6957,7081,7185,7293,7383,7523,7631,7723,7789,7935,8077,8389,8555,8725,8849,8989,9093,9179,9249,9417,9575,9749,9879,9951,10097,10241,10357,10465,10533,10693,10853,10985,11089,11179,11325,11431,11527,11595,12325
