h,e,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b
299,485,1805,1977,2149,2287,2421,2527,2613,2763,2919,3049,3163,3277,3373,3483,3607,3719,3795
357,615,1839,2025,2209,2335,2499,2605,2673,2841,2999,3131,3237,3341,3439,3587,3697,3793,3861
