h,e,e,h,e,h,h,e,e,h,f,c,b,h,e,h,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c
1791,1963,2193,2389,2565,2785,2963,3165,3365,3601,3753,3865,3943,4305,4497,4893,5057,5221,5393,5543,5685,5789,5871,6001,6159,6297,6407,6519,6613,6721,6845,6957,7037,7537,7731,7915,8073,8215,8327
1819,2019,2265,2419,2605,2829,3017,3225,3459,3659,3827,3935,4001,4355,4557,4949,5109,5275,5463,5601,5761,5859,5931,6081,6233,6371,6477,6579,6675,6821,6929,7033,7091,7595,7817,7995,8147,8279,8395
