h,e,e,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,k,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,j,b,k,f,f,c,b,k,h,h,h,j,d,d,c,b,h,e,h,f,c,b,k,f,f,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
1437,1591,1813,1989,2149,2421,2595,2733,2837,2917,3069,3219,3343,3453,3569,3665,3769,3847,4191,4377,4577,4733,4853,4965,5075,5171,5279,5361,5491,5651,5789,5909,6025,6119,6227,6351,6465,6547,7001,7151,7335,7469,7619,7725,7813,7945,8103,8223,8337,8455,8553,8661,8783,8897,8977,9209,9395,9479,9603,9771,9893,10011,10095,10251,10453,10597,10753,10871,10973,11097,11215,11297,11787,11963,12103,12241,12353,12437,12567,12725,12847,13021,13139,13223,13345,13503,13625,13735,13819,13953,14167,14377,14501,14607,14725,14845,14927
1469,1649,1877,2027,2205,2477,2633,2807,2901,2973,3143,3295,3417,3527,3627,3717,3835,3901,4231,4501,4649,4807,4929,5027,5131,5229,5347,5419,5569,5727,5863,5981,6085,6171,6325,6439,6531,6605,7047,7201,7395,7523,7697,7797,7871,8021,8177,8301,8409,8517,8613,8761,8875,8961,9037,9297,9463,9533,9687,9849,9969,10079,10155,10331,10503,10651,10805,10927,11079,11183,11281,11361,11835,12027,12159,12319,12425,12495,12651,12801,12925,13081,13207,13287,13429,13581,13705,13807,13877,14033,14217,14425,14555,14711,14815,14915,14989
