e,e,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h,g,j,c,b,k,e,h,h,f,c,g,j,c,b,k,f,f,f,c,b,k,h,h,j,d,d,c,b,k,e,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,h,h,e,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b
223,1947,2155,2295,2471,2647,2811,2913,2995,3153,3313,3435,3543,3661,3755,3861,3939,4107,4291,4407,4495,4601,4683,4807,5009,5155,5317,5467,5567,5679,5775,5881,5961,6085,6239,6363,6491,6603,6683,6821,6997,7149,7273,7373,7489,7605,7687,7891,8103,8217,8301,8421,8579,8703,8819,8933,9025,9131,9211,9339,9511,9677,9795,9895,10015,10125,10209,10491,10647,10847,11023,11175,11293,11403,11517,11613,11721,11851,11967,12047,12231,12429,12599,12713,12817,12939,13055,13135
327,2035,2189,2351,2513,2683,2875,2977,3049,3225,3385,3507,3607,3713,3807,3925,3995,4183,4347,4461,4551,4667,4735,4887,5057,5203,5367,5537,5639,5743,5833,5949,6013,6165,6313,6437,6565,6671,6741,6897,7047,7201,7333,7473,7573,7675,7739,7967,8155,8287,8357,8501,8651,8781,8891,8993,9087,9197,9271,9419,9553,9729,9853,9989,10101,10197,10267,10545,10699,10963,11103,11249,11371,11471,11577,11673,11821,11933,12037,12105,12307,12479,12655,12777,12915,13025,13125,13191
