e,e,h,e,e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,h,h,e,e,h,f,c,b,k,f,f,c,b,k,c,g,j,d,d,c,b
1491,1799,1991,2129,2325,2497,2657,2823,2969,3065,3145,3303,3459,3581,3687,3799,3893,3995,4111,4225,4303,4459,4665,4853,5011,5125,5227,5345,5463,5537,5665,5823,5945,6053,6169,6263,6371,6491,6603,6681,6863,7039,7219,7343,7443,7565,7677,7759,7909,8055,8185,8543,9097,9277,9435,9563,9697,9799,9881,10003,10155,10277,10391,10473,10599,10775,10883,10975,11079,11199,11307,11385
1607,1873,2021,2199,2383,2543,2733,2871,3041,3137,3203,3377,3531,3653,3755,3859,3949,4095,4195,4293,4359,4535,4717,4905,5065,5187,5329,5435,5529,5595,5741,5899,6023,6127,6233,6323,6475,6579,6675,6743,6941,7093,7275,7403,7543,7653,7749,7815,7985,8131,8259,8595,9155,9335,9511,9619,9773,9873,9943,10089,10231,10355,10467,10537,10685,10851,10947,11039,11173,11281,11379,11447
