e,h,e,h,e,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,h,h,h,h,e,h,f,c,g,j,d,d,c,b,k,h
1991,2175,2471,2653,2823,3081,3267,3447,3627,3807,3967,4105,4213,4293,4449,4603,4735,4843,4961,5057,5165,5291,5405,5489,5833,6013,6147,6253,6377,6489,6573,6765,6919,7043,7157,7243,7391,7611,7781,7919,8069,8177,8299,8397,8505,8635,8755,8837,8983,9147,9269,9385,9511,9607,9719,9853,9967,10051,10413,10589,10715,10863,10991,11113,11197,11329,11483,11623,11731,11825,11995,12203,12377,12505,12611,12737,12855,12937,13077,13245,13379,13495,13581,13869,14723,15133,15285,15445,15591,15725,15847,15971,16067,16175,16293,16411,16497,16629,16817
2027,2209,2535,2691,2881,3131,3319,3497,3681,3865,4017,4179,4283,4351,4527,4677,4807,4911,5019,5119,5261,5375,5473,5545,5883,6063,6203,6349,6459,6559,6635,6843,6995,7117,7223,7297,7467,7665,7835,7995,8145,8249,8361,8455,8605,8719,8819,8897,9061,9221,9345,9457,9575,9667,9823,9939,10037,10107,10467,10641,10769,10939,11069,11187,11257,11413,11563,11697,11805,11881,12075,12259,12435,12565,12709,12823,12927,12995,13157,13323,13455,13565,13639,13925,14769,15173,15337,15507,15643,15801,15923,16029,16125,16269,16383,16481,16551,16709,16867
