e,h,e,h,e,h,e,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,k,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,c,h,e,k,f,f,c,b,k,h,h,e,h,f,c,b
1643,1821,1959,2167,2313,2491,2655,2843,3047,3201,3307,3389,3547,3703,3817,3923,4005,4137,4289,4423,4525,4639,4731,4829,4951,5063,5145,5299,5455,5579,5693,5805,5897,6003,6077,6205,6381,6561,6681,6771,6877,6995,7105,7185,7325,7475,7601,7707,7789,7927,8073,8201,8305,8415,8509,8613,8857,9055,9201,9351,9469,9577,9659,9781,9985,10997,11167,11291,11425,11539,11619
1673,1849,2031,2201,2385,2523,2705,2893,3091,3271,3367,3435,3615,3773,3887,3989,4049,4209,4363,4495,4591,4697,4787,4931,5035,5123,5191,5373,5525,5653,5757,5861,5951,6065,6125,6277,6455,6617,6737,6829,6975,7081,7171,7239,7405,7549,7671,7769,7839,7993,8149,8275,8373,8471,8563,8669,8901,9147,9275,9427,9545,9649,9711,9857,10033,11033,11215,11339,11501,11605,11675
