e,h,e,h,h,e,e,h,f,c,b,h,h,h,e,k,f,f,c,g,j,d,d,c,b,h,e,e,k,f,f,c,g,j,d,d,c,b,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,h,j,d,d,c,b,k,k,e,c,b,k,f,f,c,b,k,f
2123,2325,2471,2831,3013,3193,3371,3527,3663,3765,3843,4197,4407,4547,4763,4983,5145,5273,5381,5495,5591,5697,5817,5933,6013,6511,6689,6871,7047,7199,7321,7431,7541,7633,7741,7861,7973,8055,8287,8455,8605,8721,8807,8925,9077,9201,9311,9429,9521,9629,9751,9867,9945,10083,10397,10577,10699,10799,10921,11031,11115,11359,11523,11647,11753,11871,11989,12069,12233,12427,12613,12735,12817,12951,13107,13235,13351,13429,13585,13737
2199,2361,2541,2875,3065,3253,3427,3567,3735,3835,3897,4245,4447,4597,4913,5061,5221,5349,5453,5557,5649,5791,5901,5997,6065,6547,6741,6979,7121,7271,7395,7497,7601,7693,7841,7947,8045,8103,8337,8505,8657,8787,8855,9003,9155,9277,9385,9491,9585,9733,9837,9937,10005,10165,10451,10631,10757,10899,11009,11101,11171,11411,11573,11707,11851,11955,12061,12131,12311,12479,12679,12809,12875,13031,13185,13315,13425,13493,13661,13815
