h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,f,c,g,j,c,b,k,h,f,f,c,b,k,f,f,c,b
1987,2133,2231,2315,2459,2609,2729,2831,2941,3037,3139,3251,3361,3437,3587,3761,3929,4047,4145,4263,4373,4451,4579,4727,4841,4951,5035,5163,5319,5439,5545,5659,5751,5853,5969,6077,6157,6291,6477,6657,6787,6883,7003,7115,7195,7339,7493,7621,7731,7811,7935,8119,8287,8403,8505,8623,8737,8821,8955,9113,9241,9365,9477,9595,9687,9795,9877,10069,10269,10415,10543,10645,10727,10879,11047,11173,11279,11363
2029,2201,2295,2359,2525,2681,2799,2899,2999,3091,3233,3333,3423,3489,3655,3809,3979,4101,4243,4347,4431,4499,4647,4797,4915,5015,5087,5237,5393,5513,5613,5719,5805,5949,6047,6143,6207,6363,6531,6701,6839,6979,7087,7179,7245,7407,7567,7693,7799,7863,8011,8167,8333,8455,8601,8709,8801,8871,9029,9185,9319,9439,9541,9653,9745,9857,9925,10143,10315,10489,10615,10713,10779,10951,11119,11247,11349,11415
