h,e,h,h,h,h,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,f,f,c,g,j,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,h,h,j,d,d,c,b,h,e,k,f,f,c,b
1783,1945,2617,2791,2985,3165,3305,3415,3493,3623,3833,4001,4123,4223,4341,4453,4531,4679,4831,4951,5063,5145,5277,5509,5689,5835,5953,6057,6169,6263,6367,6447,6585,6745,6871,6983,7097,7193,7297,7417,7529,7611,7741,7935,8117,8273,8411,8531,8637,8753,8845,8955,9035,9169,9341,9471,9587,9671,9831,9983,10103,10209,10325,10421,10531,10611,10743,10901,11031,11139,11251,11349,11455,11533,11701,11901,12103,12225,12327,12443,12555,12637,12835,12999,13127,13245,13327,13599,13751,13869,13973,14095,14211,14295,14473,14683,14879,15039,15165,15281,15363
1813,2009,2647,2829,3023,3203,3375,3481,3545,3697,3879,4045,4175,4313,4425,4519,4583,4759,4903,5025,5131,5201,5353,5563,5739,5911,6029,6125,6229,6323,6433,6503,6663,6823,6947,7047,7157,7249,7395,7503,7591,7665,7819,7983,8167,8319,8487,8607,8707,8811,8905,9023,9091,9249,9417,9549,9663,9729,9909,10059,10179,10281,10391,10483,10599,10669,10821,10975,11107,11211,11311,11409,11521,11589,11781,11947,12157,12283,12425,12533,12627,12691,12911,13073,13207,13317,13383,13655,13805,13927,14071,14185,14277,14349,14525,14813,14955,15117,15241,15349,15419
