e,e,e,h,e,h,h,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,h,e,h,f,c,g,j,d,h,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,e,k,f,f,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k
1997,2723,3051,3285,3443,3885,4049,4247,4393,4495,4579,4717,4877,5003,5111,5227,5323,5431,5509,5657,5815,5937,6061,6177,6273,6379,6459,6587,6773,6955,7119,7303,7441,7583,7691,7811,7907,8031,9099,9271,9419,9547,9647,9733,9863,10009,10135,10243,10327,10455,10623,10801,10933,11031,11151,11263,11345,11473,11633,11755,11869,11953,12103,12285,12459,12679,12855,13011,13141,13249,13331,13807,13963,14087,14193,14315,14429,14509,14651,14803,14927,15039,15123,15257,15495,15635,15729,15835,15963,16079,16161,16305
2045,2815,3135,3319,3499,3929,4101,4301,4467,4567,4635,4797,4951,5081,5185,5287,5383,5501,5569,5741,5885,6015,6135,6237,6331,6451,6519,6675,6827,7015,7181,7371,7501,7659,7767,7875,7967,8119,9135,9317,9461,9619,9711,9779,9939,10083,10213,10313,10379,10533,10673,10843,10987,11133,11235,11329,11397,11549,11705,11831,11939,12005,12181,12333,12503,12769,12925,13083,13213,13317,13383,13857,14011,14145,14293,14407,14501,14571,14731,14881,15007,15113,15185,15335,15547,15693,15789,15941,16049,16145,16211,16385
