f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k
45,167,279,399,495,607,731,847,929,1985,2169,2309,2447,2551,2635,2761,2913,3035,3153,3237,3365,3557,3711,3835,3935,4055,4173,4259,4415,4575,4699,4813,4931,5027,5135,5257,5375,5457,5615
123,247,359,461,557,717,823,915,987,2033,2229,2361,2523,2623,2691,2841,2991,3117,3225,3297,3449,3611,3767,3895,4039,4149,4241,4311,4493,4653,4777,4883,4991,5091,5237,5347,5453,5523,5693
