h,e,h,e,h,h,f,c,b,k,f,c,g,j,d,d,c,b,k,f,f
1431,1617,1811,1973,2255,2423,2597,2701,2779,2929,3089,3203,3315,3411,3519,3633,3741,3819,3961,4123,4253
1463,1679,1855,2033,2299,2469,2671,2775,2839,3007,3165,3279,3375,3479,3615,3717,3811,3879,4037,4195,4329
