e,h,e,h,h,h,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,k,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,h,h,j,d,d,c,b
1239,1701,1845,1987,2155,2317,2457,2555,2637,2775,2959,3127,3261,3359,3477,3587,3667,3797,3955,4077,4185,4299,4395,4497,4621,4739,4815,4953,5129,5309,5455,5589,5673,5797,5953,6077,6183,6265,6399,6549,6671,6779,6895,6989,7099,7177,7313,7473,7599,7707,7821,7919,8025,8103,8237,8393,8513,8621,8739,8835,8941,9067,9183,9265,9439,9617,9809,9989,10139,10259,10367,10505,10597,10705,10829,10943,11023,11367,11517,11639,11739,11861,11989,12067,12423,12571,12697,12797,12921,13041,13123
1349,1735,1893,2017,2195,2361,2525,2621,2687,2845,2999,3173,3307,3455,3561,3651,3715,3869,4027,4149,4247,4359,4449,4597,4711,4799,4867,5025,5173,5363,5499,5651,5721,5869,6027,6149,6249,6317,6471,6621,6743,6847,6953,7047,7161,7223,7389,7547,7675,7771,7883,7973,8085,8153,8309,8467,8585,8689,8797,8893,9041,9157,9249,9315,9511,9663,9923,10059,10215,10333,10433,10567,10653,10809,10919,11003,11069,11409,11565,11693,11841,11949,12053,12121,12471,12623,12755,12899,13009,13111,13175
