h,e,e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,f,c,g,j,d,d,c,b,h,h,f,f,c,b,k,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,j,b,k,h,e,k,f,f,c,h,h,h,j,d,d,c,b,k,f,f,c,b,h,h,j,d,d,c,b,h,h,e,h,f,c,b,k,f
1981,2127,2365,2991,3175,3365,3501,3605,3685,3821,3969,4087,4193,4309,4407,4509,4631,4741,4819,4965,5155,5283,5389,5505,5601,5703,5819,5931,6013,6303,6477,6623,6745,6859,6941,7063,7223,7341,7453,7549,7651,7777,7891,7975,8215,8405,8533,8669,8773,8859,8987,9141,9265,9379,9473,9643,9823,9987,10107,10209,10325,10443,10523,10665,10833,10919,11043,11271,11465,11629,11777,11899,12005,12407,12567,12731,12859,12963,13085,13201,13279,13455,13611,13737,13849,13937,14189,14341,14467,14569,14693,14807,14891,15749,15929,16107,16227,16363,16471,16553,16683,16833
2015,2189,2451,3021,3249,3411,3575,3673,3741,3897,4043,4157,4251,4367,4457,4605,4713,4801,4867,5043,5209,5361,5463,5567,5661,5799,5909,5991,6061,6343,6519,6695,6821,6925,6991,7141,7297,7411,7517,7611,7755,7867,7953,8027,8261,8455,8575,8745,8845,8919,9069,9217,9343,9451,9525,9721,9871,10037,10165,10307,10413,10509,10575,10743,10899,10971,11115,11317,11557,11701,11853,11975,12079,12457,12621,12787,12925,13067,13169,13261,13335,13529,13683,13813,13917,13983,14233,14397,14529,14671,14787,14879,14945,15785,15975,16151,16277,16441,16539,16607,16759,16905
