h,e,e,e,h,h,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,e,h,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f
1825,1979,2161,2357,2549,2759,2933,3097,3203,3283,3431,3593,3729,3831,3947,4043,4147,4229,4367,4535,4677,4793,4873,5033,5227,5393,5525,5627,5749,5863,5945,6369,6555,6675,6809,6919,7035,7127,7231,7313,7459,7611,7733,7837,7957,8053,8155,8273,8387,8473,8605,8793,8983,9155,9303,9425,9535,9651,9743,9847,9927,10053,10237,10425,10549,10651,10775,10891,10973,11101,11251,11383
1855,2037,2209,2413,2583,2799,2981,3169,3269,3337,3505,3665,3801,3895,4007,4099,4211,4281,4439,4607,4751,4857,4925,5109,5273,5443,5577,5725,5835,5931,5991,6415,6599,6723,6883,6987,7089,7181,7299,7367,7533,7685,7807,7903,8017,8107,8251,8361,8455,8523,8677,8839,9085,9227,9377,9501,9601,9707,9801,9911,9979,10129,10287,10479,10605,10749,10863,10955,11025,11175,11327,11461
